customer_id,Name,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure
59,Niki Heathcote,Male,60,23.22,Physical Therapy Assistant,,High Net Worth,No,3
60,Nadiya Champerlen,Female,18,53.25,,Manufacturing,Mass Customer,No,10
61,Kacey Rowbottom,Female,47,63.44,Help Desk Operator,Property,High Net Worth,No,13
62,Sorcha Roggers,Female,38,43.83,,IT,Mass Customer,Yes,22
63,Ebony Zini,Female,58,57.85,Senior Quality Engineer,Retail,Mass Customer,Yes,16
64,Gerek Yve,Male,73,45.11,Legal Assistant,IT,High Net Worth,No,4
65,Yale Tanser,Male,21,47.09,Information Systems Manager,Financial Services,Affluent Customer,Yes,15
66,Anselm Gawne,Male,46,21.13,Account Executive,Argiculture,High Net Worth,No,1
67,Vernon ,Male,67,62.90,Web Developer II,Retail,Mass Customer,No,18
68,Dahlia Eddoes,Female,37,49.04,Information Systems Manager,,Affluent Customer,No,9
69,Heidi Milner,Female,16,53.87,Web Developer II,,Mass Customer,No,6
70,Foster Vannoort,Male,78,30.17,Paralegal,Financial Services,Affluent Customer,No,8
71,Hoyt Glavias,Male,30,38.26,Research Associate,Argiculture,Affluent Customer,Yes,12
72,Sammy Cheese,Male,93,51.23,Administrative Officer,Manufacturing,Affluent Customer,Yes,16
73,Minette Worters,Female,16,62.95,Teacher,,Affluent Customer,Yes,5
74,Pansy Kiddie,Female,94,53.88,,,Mass Customer,Yes,6
75,Dollie Sealy,Female,28,44.81,VP Product Management,Property,Mass Customer,No,19
76,Rea Hasser,Female,20,45.28,Statistician II,Retail,High Net Worth,Yes,18
77,Shermie Andrin,Male,79,33.64,Automation Specialist IV,Financial Services,Mass Customer,No,7
78,Arch Van der Kruis,Male,37,38.14,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8
79,Tybi Silliman,Female,76,54.59,Account Executive,Manufacturing,Mass Customer,No,18
80,Pablo Small,Male,11,45.03,Data Coordiator,Entertainment,Mass Customer,No,13
81,Bee Blazewicz,Female,58,36.66,,Health,High Net Worth,No,13
82,Gleda Cokely,Female,93,57.86,Software Test Engineer III,Property,High Net Worth,No,19
83,Kerr Simmell,Male,97,56.19,Internal Auditor,IT,Mass Customer,Yes,18
84,Rich Mathiasen,Male,78,65.25,Accountant III,,Mass Customer,Yes,14
85,Kane Tixall,Male,1,64.97,Analyst Programmer,,Mass Customer,No,8
86,Job Sleney,Male,75,34.16,Occupational Therapist,Health,High Net Worth,Yes,7
87,Fields Langdon,Male,78,49.04,Editor,Financial Services,Mass Customer,No,8
88,Malynda Tumber,Female,41,57.26,Help Desk Operator,Property,High Net Worth,Yes,7
89,Benedicto Hoxey,Male,74,56.29,Speech Pathologist,Health,Mass Customer,Yes,14
90,Cary Garron,Male,76,38.47,Quality Control Specialist,Manufacturing,Mass Customer,No,11
91,Dylan Meaker,Male,69,68.21,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17
92,Jodee Judkins,Female,98,42.64,Recruiting Manager,Health,Mass Customer,No,12
93,Gordon Gowar,Male,63,46.80,Project Manager,Retail,Mass Customer,Yes,10
94,Wallache Simchenko,Male,33,48.75,Civil Engineer,Manufacturing,Mass Customer,No,21
95,Nomi Mallinder,Female,67,62.37,Software Engineer III,Manufacturing,Affluent Customer,Yes,8
96,Heath Olford,Male,33,54.68,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15
97,Arne Corain,Male,16,43.77,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10
98,Allianora Babalola,Female,19,67.15,Safety Technician IV,Health,Mass Customer,No,7
99,Reggie Mulliner,Male,97,24.88,VP Accounting,Financial Services,Mass Customer,No,3
100,Tripp Steed,Male,80,54.99,General Manager,Financial Services,Mass Customer,Yes,4
101,Goran Kwietek,Male,83,47.35,Nurse Practicioner,Manufacturing,High Net Worth,No,11
102,Langsdon Tranfield,Male,51,66.45,Quality Control Specialist,Manufacturing,Affluent Customer,No,16
103,Ethyl Runham,Female,49,26.02,Product Engineer,Financial Services,Affluent Customer,Yes,4
104,Odille Panketh,Female,40,44.91,Automation Specialist II,Health,Mass Customer,Yes,9
105,Maribeth Pristnor,Female,25,21.61,Recruiting Manager,Manufacturing,Mass Customer,No,1
106,Glyn ,Male,54,56.85,Software Test Engineer III,Health,High Net Worth,Yes,18
107,Pris Stallebrass,Female,97,32.84,Nurse Practicioner,Financial Services,Mass Customer,Yes,9
108,Kayle Mingaud,Female,4,29.13,,,High Net Worth,No,3
109,Cody Blabey,Male,16,44.40,Marketing Assistant,,Affluent Customer,Yes,4
110,Sascha St. Quintin,Male,23,22.75,,Financial Services,Affluent Customer,No,1
111,Cele Evason,Female,65,29.67,Analyst Programmer,,Mass Customer,No,2
112,Shena Parren,Female,88,47.73,Marketing Manager,Retail,High Net Worth,No,12
113,Gage Nickless,Male,67,67.01,Staff Scientist,,Mass Customer,No,20
114,Sunny Swindells,Female,10,37.53,Teacher,Entertainment,Affluent Customer,No,8
115,Alberik Mereweather,Male,77,41.37,Account Executive,Health,Mass Customer,No,18
116,Scottie Swiffen,Male,49,24.23,Assistant Professor,Manufacturing,Affluent Customer,Yes,2
117,Nance Suttling,Female,75,41.19,Marketing Manager,Manufacturing,Mass Customer,No,15
118,Prentice Pearmain,Male,43,63.49,Budget/Accounting Analyst IV,,High Net Worth,No,19
119,Willey Chastanet,Male,9,41.41,Associate Professor,,High Net Worth,Yes,9
120,Sloan Wagg,Male,80,44.67,Legal Assistant,Financial Services,High Net Worth,Yes,4
121,Myles Pauncefort,Male,82,65.60,Graphic Designer,Manufacturing,Mass Customer,No,15
122,Colver Itter,Male,87,44.04,Quality Control Specialist,Financial Services,Mass Customer,Yes,12
123,Almeta Kalinsky,Female,85,34.41,Analyst Programmer,Financial Services,High Net Worth,No,15
124,Kath Cunney,Female,27,27.99,Administrative Assistant II,Health,High Net Worth,Yes,5
125,Darrelle Antoniewski,Female,94,63.15,Computer Systems Analyst II,Property,Mass Customer,No,16
126,Norman Cliff,Male,53,30.54,Administrative Officer,Health,Mass Customer,Yes,3
127,Merrili Whitear,Female,81,48.42,Compensation Analyst,Financial Services,Mass Customer,No,19
128,Isidro Cypler,Male,73,45.80,Systems Administrator III,Property,Mass Customer,Yes,12
129,Weidar Silkstone,Male,64,37.79,Financial Advisor,Financial Services,High Net Worth,Yes,19
130,Raddy Delete,Male,32,25.78,Chemical Engineer,Manufacturing,Mass Customer,No,1
131,Jana Renyard,Female,57,58.56,Administrative Officer,Retail,High Net Worth,No,8
132,Celesta Willavoys,Female,5,59.84,Web Designer I,Manufacturing,Mass Customer,Yes,9
133,Eldridge Fiddeman,Male,12,45.89,VP Accounting,Financial Services,Mass Customer,Yes,16
134,Merna McCulloch,Female,34,25.75,Legal Assistant,Telecommunications,Affluent Customer,Yes,5
135,Rosalia Sigart,Female,18,48.30,Internal Auditor,IT,Mass Customer,No,3
136,Mel Bennet,Male,46,49.95,Senior Developer,Manufacturing,High Net Worth,Yes,7
137,Vaughn Artin,Male,27,35.45,Office Assistant II,Property,High Net Worth,No,10
138,Onofredo Franc,Male,5,38.01,Recruiter,Financial Services,Affluent Customer,Yes,13
139,Gar ,Male,1,58.78,Operator,Telecommunications,Affluent Customer,No,4
140,Morrie Flaxon,Male,9,28.95,Programmer Analyst III,Manufacturing,Mass Customer,No,2
141,Townsend Trobe,Male,67,68.88,Teacher,Financial Services,High Net Worth,Yes,10
142,Bentley Fortesquieu,Male,57,55.75,Quality Engineer,Health,Affluent Customer,No,17
143,Kendall Figg,Male,19,65.69,Operator,Argiculture,Mass Customer,Yes,11
145,Filippo Ferrara,Male,33,25.78,Account Executive,Financial Services,Mass Customer,No,4
146,Ricoriki Matlock,Male,34,38.07,Quality Control Specialist,Manufacturing,Mass Customer,No,8
147,Rea Pattrick,Female,32,49.41,Analog Circuit Design manager,Health,Mass Customer,Yes,10
148,Jaquith Maffey,Female,69,41.99,Programmer Analyst III,,Mass Customer,Yes,5
149,Drucy Kausche,Female,41,28.25,Research Nurse,Health,Mass Customer,Yes,1
150,Bradly Crosse,Male,6,39.70,Cost Accountant,Financial Services,Affluent Customer,No,17
151,Donnie Brimson,Male,36,58.27,Marketing Manager,Manufacturing,Mass Customer,Yes,13
152,Stephana Cardew,Female,5,42.17,Compensation Analyst,Financial Services,Mass Customer,No,16
153,Lorilyn Walshe,Female,73,45.77,Assistant Media Planner,Entertainment,Mass Customer,Yes,12
154,Faydra Dulieu,Female,90,65.24,Junior Executive,,Mass Customer,No,11
155,Orran Bogges,Male,4,37.35,Quality Engineer,Manufacturing,Mass Customer,No,10
156,Shayla Rimmington,Female,23,43.65,Cost Accountant,Financial Services,Mass Customer,Yes,11
157,Chad Houtby,Male,97,48.45,Financial Advisor,Financial Services,Affluent Customer,No,16
158,Hamlin Odams,Male,99,38.66,Internal Auditor,,Affluent Customer,No,5
159,Arin Matskevich,Male,90,35.98,Research Nurse,Health,Affluent Customer,No,13
160,Wake Durning,Male,5,58.81,Registered Nurse,Health,Mass Customer,No,18
161,Tadd Bloss,Male,49,47.29,,,Mass Customer,No,16
162,Port Acuna,Male,90,43.73,Nurse Practicioner,IT,Mass Customer,No,15
163,Kessia Helder,Female,58,46.66,Librarian,Entertainment,High Net Worth,Yes,14
164,Aarika Van Vuuren,Female,55,23.73,Senior Editor,Retail,Affluent Customer,Yes,1
165,Aldon Roelofs,Male,61,39.11,Administrative Officer,Argiculture,Mass Customer,Yes,12
166,Elston Oleszczak,Male,54,67.91,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6
167,Nathalie Tideswell,Female,95,53.53,,Health,High Net Worth,Yes,17
169,Alfy Bruhnke,Male,20,65.56,Data Coordiator,Telecommunications,High Net Worth,Yes,5
170,Jammal Gever,Male,80,47.93,Pharmacist,Health,High Net Worth,No,21
171,Halli Davidoff,Female,62,52.42,Assistant Manager,Manufacturing,Mass Customer,No,10
172,Hilton Carney,Male,54,34.64,Editor,Manufacturing,Affluent Customer,Yes,6
173,Ebba Hanselmann,Female,99,26.32,General Manager,Health,Affluent Customer,No,1
174,Catie Tosspell,Female,93,33.43,Food Chemist,Health,Mass Customer,No,12
175,Templeton Hambrook,Male,36,47.44,Quality Engineer,Manufacturing,Affluent Customer,No,5
176,Angelo Clayal,Male,39,31.05,Accountant I,Property,Mass Customer,No,10
177,Ondrea Pablos,Female,25,33.48,Professor,Financial Services,High Net Worth,No,4
178,Matthieu Bertelmot,Male,2,56.10,,,Affluent Customer,No,8
179,Esteban Sewill,Male,23,56.99,Environmental Tech,Manufacturing,High Net Worth,Yes,6
180,Trisha Neasham,Female,16,51.64,Web Designer III,Argiculture,Affluent Customer,No,14
181,Pavla Braunle,Female,49,40.45,Senior Editor,Manufacturing,Mass Customer,No,9
182,Lydon Dahlman,Male,99,30.44,Sales Associate,Financial Services,Affluent Customer,Yes,7
183,Dannie Hissie,Female,7,25.73,Geologist III,Retail,Affluent Customer,No,3
184,Nappie Paolo,Male,40,51.40,Marketing Manager,Manufacturing,High Net Worth,Yes,7
185,Crosby Walcot,Male,80,43.39,,Property,Mass Customer,Yes,13
186,Mireielle Jeppe,Female,46,49.00,Software Test Engineer I,Financial Services,Mass Customer,No,3
187,Pincas Ather,Male,97,69.28,Structural Engineer,,Mass Customer,No,11
188,Audry Seine,Female,54,47.87,Safety Technician II,Property,High Net Worth,Yes,13
189,Umberto Torricella,Male,73,41.79,Safety Technician I,Financial Services,Affluent Customer,No,10
190,Hayley Girardengo,Female,42,44.25,Registered Nurse,Health,Affluent Customer,No,10
191,Christopher Heining,Male,22,63.03,Help Desk Operator,,Affluent Customer,Yes,6
192,Goldi Osler,Female,2,44.46,Junior Executive,Health,Mass Customer,Yes,8
193,Foss Hardes,Male,13,58.79,Recruiting Manager,Manufacturing,Mass Customer,Yes,12
194,Ursala Ferrai,Female,4,48.47,Web Developer III,Financial Services,Affluent Customer,No,10
195,Talyah Rylatt,Female,34,64.48,Project Manager,Manufacturing,Mass Customer,No,6
196,Swen Odhams,Male,90,57.21,Programmer Analyst II,Manufacturing,High Net Worth,No,6
197,Avis ,Female,32,46.27,,,High Net Worth,No,5
198,Vanya Gumb,Female,82,41.43,Assistant Media Planner,Entertainment,Mass Customer,No,16
199,Verla Alven,Female,61,45.22,Junior Executive,Health,Mass Customer,Yes,21
200,Hube Weald,Male,7,66.26,Physical Therapy Assistant,Property,Affluent Customer,Yes,19
201,Salem Huie,Male,45,57.05,Design Engineer,Manufacturing,Mass Customer,Yes,11
202,Audie Pillinger,Female,38,59.87,Librarian,Entertainment,Affluent Customer,Yes,16
203,Donovan Conry,Male,71,59.32,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11
204,Thorny Hackworth,Male,56,46.59,Editor,Financial Services,Mass Customer,No,5
205,Rolfe Kellard,Male,18,64.44,Administrative Assistant II,Financial Services,Mass Customer,Yes,6
206,Mari Chevolleau,Female,98,68.81,Statistician I,,Mass Customer,Yes,14
207,Adena Whyman,Female,9,28.72,,,Mass Customer,No,7
208,Rutter Excell,Male,57,28.50,Office Assistant III,Property,High Net Worth,No,5
209,Udall Bellard,Male,9,65.70,Analog Circuit Design manager,,Affluent Customer,Yes,6
210,Albrecht Thomasson,Male,50,59.47,Assistant Manager,Property,Mass Customer,No,18
211,Beitris ,Female,6,49.17,VP Marketing,Manufacturing,Mass Customer,Yes,5
212,Nanice Ellse,Female,21,21.44,Desktop Support Technician,IT,Affluent Customer,No,1
213,Lockwood Exroll,Male,13,26.96,Actuary,Financial Services,High Net Worth,Yes,6
214,Jeramie Cellier,Male,82,65.44,Food Chemist,Health,Mass Customer,No,6
215,Debera Foxworthy,Female,37,48.87,Assistant Professor,Retail,High Net Worth,Yes,18
216,Cinderella Parcall,Female,12,28.30,Quality Engineer,Financial Services,High Net Worth,Yes,7
217,Jeralee Quartly,Female,63,43.40,,Manufacturing,High Net Worth,No,16
218,Stefa Dunnan,Female,37,29.73,Administrative Officer,Property,High Net Worth,Yes,8
219,Markus Mughal,Male,9,58.45,Database Administrator III,Health,Mass Customer,No,7
220,Jeniffer Apark,Female,79,69.00,Electrical Engineer,Manufacturing,High Net Worth,No,9
221,Mara Bloore,Female,14,43.15,Tax Accountant,Manufacturing,Mass Customer,No,14
222,Nev Larive,Male,89,44.67,Clinical Specialist,Health,Mass Customer,No,16
223,Ossie Meaton,Male,13,39.44,VP Sales,,Affluent Customer,Yes,14
224,Morgun Girvan,Male,2,55.43,Compensation Analyst,Financial Services,Affluent Customer,No,17
225,Brittaney Pring,Female,84,46.15,Pharmacist,Health,Affluent Customer,No,13
226,Bondie Letty,Male,96,45.48,Database Administrator IV,Manufacturing,Mass Customer,No,20
227,Wendall McKeand,Male,99,49.73,Accountant I,Entertainment,Mass Customer,No,18
228,Lucia Pickervance,Female,59,36.94,Systems Administrator II,Manufacturing,High Net Worth,No,12
229,Vaughn Lambis,Male,30,57.17,,Property,High Net Worth,No,19
230,Maegan Scyone,Female,74,68.88,Internal Auditor,Property,High Net Worth,No,11
231,Basile Winsor,Male,48,27.74,Design Engineer,Financial Services,Mass Customer,Yes,3
232,Zaria Koeppke,Female,94,35.47,Professor,Retail,Mass Customer,No,12
233,Art Barwell,Male,34,36.73,Environmental Tech,Property,Mass Customer,No,13
234,Mead Alpes,Female,71,53.73,Chief Design Engineer,Retail,High Net Worth,No,12
235,Leona Phateplace,Female,30,46.36,Social Worker,Health,Mass Customer,No,15
236,Tybalt Gillingwater,Male,79,68.53,Research Nurse,Health,Affluent Customer,No,14
237,Reginald Dartan,Male,18,49.16,Account Coordinator,Property,High Net Worth,Yes,11
238,Max Bilborough,Male,54,39.24,Programmer III,,Mass Customer,Yes,14
239,Wells Pressman,Male,62,30.38,Registered Nurse,Health,Affluent Customer,No,3
240,Gavin Fawks,Male,49,33.76,Administrative Assistant III,IT,High Net Worth,Yes,15
241,Quillan Duigan,Male,94,35.98,Quality Engineer,Entertainment,Mass Customer,No,20
242,Taite Droghan,Male,17,31.12,Nurse,Property,Affluent Customer,No,8
243,Barbara Croxley,Female,94,46.67,Teacher,Manufacturing,High Net Worth,Yes,14
244,Germayne Sperry,Male,57,48.44,,Retail,Affluent Customer,No,8
245,Noell Grahlmans,Female,6,21.59,Associate Professor,Financial Services,Affluent Customer,No,1
246,Binny Whight,Female,63,32.17,Technical Writer,Manufacturing,High Net Worth,No,9
247,Kristal Joysey,Female,62,39.99,Staff Accountant II,Financial Services,High Net Worth,Yes,13
248,Inger Eskell,Female,76,45.05,Clinical Specialist,Health,Affluent Customer,Yes,12
249,D'arcy Slay,Male,65,30.63,Quality Control Specialist,IT,High Net Worth,No,9
250,Kristofer ,Male,53,35.05,Legal Assistant,Health,Mass Customer,Yes,13
251,Mala ,Female,88,45.36,VP Sales,Financial Services,Affluent Customer,Yes,10
252,Anthea Ruskin,Female,39,40.27,Account Coordinator,Property,Mass Customer,Yes,13
253,Amalee Choak,Female,82,25.97,Food Chemist,Health,Mass Customer,Yes,1
254,Barbie Rubi,Female,98,61.63,Information Systems Manager,Retail,Mass Customer,No,14
255,Keeley Kruger,Female,2,69.32,Desktop Support Technician,IT,Mass Customer,No,5
256,Linell Beadle,Female,16,48.00,Director of Sales,Health,High Net Worth,Yes,21
257,Marissa ,Female,70,57.24,Sales Associate,Manufacturing,Affluent Customer,Yes,19
258,Othella Keher,Female,24,30.99,Administrative Officer,Manufacturing,High Net Worth,No,9
259,Venita Dymick,Female,70,39.78,Senior Developer,Health,High Net Worth,Yes,3
260,Farand Marriner,Female,47,43.68,Senior Quality Engineer,Health,High Net Worth,Yes,22
261,Marve Pryn,Male,74,45.55,Structural Engineer,,Mass Customer,No,8
262,Cordie Petrelli,Male,97,45.36,,Health,High Net Worth,Yes,10
263,Tonia Leigh,Female,89,37.45,Dental Hygienist,Health,High Net Worth,No,7
264,Jedd Spiby,Male,31,45.41,Technical Writer,Health,Mass Customer,No,11
265,Pennie Stoile,Male,74,57.59,Sales Representative,Retail,High Net Worth,Yes,18
266,Lelia Garatty,Female,69,33.79,Account Executive,Retail,Affluent Customer,No,18
268,Kacie Kidston,Female,60,44.55,Chemical Engineer,Manufacturing,Mass Customer,No,10
269,Zacherie Grindley,Male,55,68.64,Nurse Practicioner,Property,Mass Customer,Yes,9
270,Auberta Roundtree,Female,38,52.41,Budget/Accounting Analyst III,,Mass Customer,Yes,17
271,Doll Burtwell,Female,51,32.21,Financial Advisor,Financial Services,Mass Customer,No,4
272,Arlie Crean,Female,22,35.91,Product Engineer,Retail,Mass Customer,Yes,1
273,Nevile Abraham,Male,54,60.05,Computer Systems Analyst IV,,Mass Customer,No,19
274,Tessi Hesse,Female,66,46.64,Social Worker,Health,Mass Customer,Yes,14
275,Dud ,Male,7,67.79,VP Sales,Health,High Net Worth,No,13
276,Goldi Dwine,Female,47,33.10,,Financial Services,Mass Customer,No,22
277,Jehanna Alvarado,Female,69,67.22,VP Product Management,,High Net Worth,No,15
278,Sydney Georger,Male,22,25.75,Executive Secretary,,Affluent Customer,Yes,4
279,Tamera Hinckes,Female,0,41.65,Web Designer I,Manufacturing,Mass Customer,No,11
280,Welch MacAllaster,Male,15,28.11,Geologist I,,Affluent Customer,Yes,5
281,Jeanette Sizzey,Female,51,50.36,Cost Accountant,Financial Services,High Net Worth,Yes,8
282,Lauren Curcher,Male,82,33.51,VP Quality Control,Argiculture,High Net Worth,Yes,11
283,Sari Noye,Female,34,32.24,Assistant Manager,Retail,Mass Customer,No,2
284,Seth Moorman,Male,38,37.06,Financial Analyst,Financial Services,High Net Worth,Yes,9
285,Julee Janovsky,Female,3,45.46,Community Outreach Specialist,Manufacturing,Mass Customer,No,12
286,Kiley Canaan,Male,99,33.75,Accounting Assistant II,Manufacturing,Affluent Customer,Yes,11
287,Hannie Wodham,Female,41,37.99,Nuclear Power Engineer,Manufacturing,Affluent Customer,No,4
288,Ebenezer Seedman,Male,71,37.65,,Manufacturing,High Net Worth,No,9
289,Modestia Lithgow,Female,43,53.07,Clinical Specialist,Health,High Net Worth,No,10
291,Aime Burston,Female,63,51.54,Assistant Media Planner,Entertainment,Mass Customer,No,4
292,Gelya Gerant,Female,42,61.45,VP Product Management,,Affluent Customer,Yes,9
293,Virgilio Willcocks,Male,80,33.39,Administrative Assistant III,Manufacturing,Mass Customer,Yes,20
294,Magnum Slowan,Male,39,64.11,Recruiting Manager,,High Net Worth,No,5
295,Lena Chape,Female,64,58.36,Database Administrator II,,Mass Customer,Yes,18
296,Marshal Rathbone,Male,34,50.88,,Health,High Net Worth,Yes,17
297,Cecile MacLise,Female,33,64.04,Electrical Engineer,Manufacturing,High Net Worth,No,16
298,Maurise Lenglet,Male,69,66.73,Engineer I,Manufacturing,High Net Worth,No,9
299,Corabelle Hartnell,Female,80,66.65,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes,7
300,Malachi Hadcroft,Male,88,66.88,Clinical Specialist,Health,Mass Customer,No,9
301,Hildy Bilbrook,Female,54,42.56,Developer IV,Manufacturing,High Net Worth,No,19
302,Laurice Colgrave,Female,32,46.11,,Health,Mass Customer,No,13
303,Shane Smetoun,Female,59,48.72,Assistant Professor,Argiculture,Mass Customer,Yes,14
304,Paddy Mumbray,Male,36,54.11,VP Marketing,Manufacturing,Mass Customer,Yes,15
305,Cris Chellam,Female,1,49.14,Financial Analyst,Financial Services,Mass Customer,No,11
306,Ruy Adanet,Male,19,49.76,Registered Nurse,Health,High Net Worth,No,18
307,Ruben Handlin,Male,55,38.71,Clinical Specialist,Health,Affluent Customer,Yes,12
308,Iver Dobsons,Male,2,40.15,Database Administrator I,IT,High Net Worth,No,4
309,Maurizia Ligerton,Female,53,48.59,Clinical Specialist,Health,Mass Customer,Yes,21
310,Myranda Clowser,Female,0,38.22,Account Coordinator,Financial Services,Mass Customer,Yes,18
311,Jaimie Halms,Female,86,65.73,Internal Auditor,Health,High Net Worth,No,12
312,Garek Prattin,Male,44,65.15,Desktop Support Technician,Financial Services,Affluent Customer,Yes,6
313,Theo McKune,Male,70,35.36,Operator,Manufacturing,Mass Customer,Yes,13
314,Catie Advani,Female,27,60.70,Marketing Assistant,Retail,High Net Worth,Yes,5
315,Lisa Odlin,Female,67,65.07,Chief Design Engineer,Manufacturing,Affluent Customer,No,12
316,Genni Larway,Female,72,46.93,Environmental Specialist,Manufacturing,Mass Customer,Yes,10
317,Elicia Dahler,Female,26,49.23,Automation Specialist II,Entertainment,Mass Customer,Yes,14
318,Libbie Castelin,Female,21,53.97,Programmer III,Retail,Affluent Customer,Yes,18
319,Madelle Matteris,Female,32,51.57,,Retail,Mass Customer,Yes,14
320,Aldous Cubin,Male,19,26.22,Registered Nurse,Health,Mass Customer,No,4
